Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
1,0.0,1,12.0,3.0,4,2,2,1,18.0,1.0,1.0,0.0,129.26,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157.44,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,160.74,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,149.63,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,161.72,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203.12,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,9.0,3,28.0,2.0,3,3,2,1,19.0,0.0,1.0,0.0,116.75,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0.0,3,26.0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,145.59,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,14.0,1,14.0,2.0,5,2,3,0,15.0,0.0,1.0,3.0,206.5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1,0.0,1,15.0,2.0,3,5,8,0,22.0,1.0,1.0,4.0,142.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,8.0,3,6.0,3.0,3,4,2,0,13.0,1.0,1.0,6.0,172.95,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
0,9.0,3,12.0,2.0,3,3,3,1,20.0,0.0,4.0,5.0,123.06,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,18.0,1,14.0,2.0,3,4,9,0,18.0,1.0,1.0,15.0,123.47999999999999,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,5.0,3,14.0,2.0,3,2,2,0,14.0,2.0,3.0,7.0,189.98,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,2.0,1,6.0,2.0,3,3,2,0,13.0,0.0,1.0,9.0,143.19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0.0,1,13.0,2.0,4,3,3,0,17.0,1.0,1.0,0.0,161.32,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,30.0,1,15.0,3.0,4,4,5,1,20.0,1.0,1.0,0.0,133.46,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,13.0,3,10.0,3.0,4,2,8,0,11.0,2.0,2.0,11.0,208.55,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
0,9.0,3,8.0,3.0,3,3,7,0,18.0,1.0,1.0,2.0,122.31,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,0.0,1,14.0,3.0,3,2,2,0,24.0,0.0,2.0,2.0,123.22999999999999,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,9.0,1,15.0,2.0,3,4,7,0,18.0,0.0,2.0,2.0,120.24000000000001,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,1.0,1,27.0,3.0,3,2,2,0,11.0,0.0,1.0,2.0,127.13,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,30.0,1,30.0,2.0,2,2,4,1,16.0,1.0,1.0,4.0,194.39,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
0,0.0,1,14.0,3.0,4,3,2,1,15.0,0.0,1.0,1.0,125.66,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,23.0,1,17.0,2.0,3,4,4,0,15.0,2.0,4.0,4.0,299.26,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
0,14.0,1,14.0,2.0,3,3,5,0,12.0,1.0,1.0,8.0,124.50999999999999,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,3.0,3,11.0,2.0,3,2,3,0,12.0,2.0,7.0,4.0,194.19,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,11.0,3,6.0,2.0,4,2,5,0,22.0,1.0,1.0,1.0,186.86,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,5.0,1,12.0,3.0,3,3,4,0,20.0,0.0,1.0,4.0,130.38,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0.0,1,23.0,3.0,3,4,1,1,16.0,1.0,1.0,1.0,130.58,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0.0,3,14.0,3.0,5,5,1,0,21.0,1.0,1.0,0.0,123.25,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,9.0,1,9.0,1.0,3,4,5,0,12.0,4.0,7.0,2.0,120.88,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,3.0,1,15.0,3.0,3,5,2,0,11.0,0.0,6.0,10.0,130.72,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,18.0,3,10.0,1.0,3,5,5,1,11.0,0.0,1.0,3.0,150.06,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,29.0,1,14.0,3.0,3,5,5,1,18.0,1.0,2.0,2.0,142.57,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
0,6.0,1,14.0,2.0,3,2,1,0,14.0,0.0,1.0,2.0,125.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0.0,1,8.0,2.0,4,2,2,0,22.0,0.0,1.0,0.0,111.02000000000001,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,19.0,3,6.0,3.0,3,5,2,0,25.0,4.0,15.0,7.0,204.53,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,9.0,1,15.0,3.0,3,2,2,0,12.0,1.0,2.0,1.0,122.88,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
0,4.0,1,18.0,3.0,3,2,9,1,23.0,1.0,1.0,2.0,139.29,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,9.0,1,33.0,3.0,3,4,3,0,15.0,1.0,1.0,2.0,123.11000000000001,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,4.0,3,26.0,3.0,3,4,2,1,22.0,0.0,1.0,2.0,131.4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,23.0,1,6.0,2.0,4,3,3,0,15.0,0.0,1.0,2.0,136.9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,26.0,1,19.0,2.0,2,5,2,0,11.0,1.0,1.0,3.0,144.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,6.0,1,20.0,3.0,3,4,2,0,13.0,0.0,1.0,6.0,127.56,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,13.0,1,10.0,2.0,3,3,2,0,14.0,1.0,9.0,9.0,290.33,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0,28.0,1,20.0,3.0,2,4,9,0,11.0,1.0,2.0,15.0,287.22,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,7.0,1,8.0,2.0,4,3,2,0,17.0,0.0,1.0,9.0,195.47,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,24.0,1,9.0,3.0,3,4,4,0,18.0,0.0,2.0,0.0,237.33999999999997,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,25.0,1,6.0,3.0,4,3,1,0,15.0,1.0,11.0,9.0,299.99,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,9.0,1,15.0,2.0,3,4,2,0,16.0,1.0,1.0,3.0,122.78999999999999,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0.0,1,29.0,2.0,4,3,4,1,13.0,1.0,1.0,1.0,159.16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,9.0,1,13.0,2.0,2,2,5,0,14.0,0.0,2.0,2.0,120.88999999999999,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,18.0,1,8.0,3.0,4,2,10,0,23.0,1.0,11.0,8.0,267.92,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,10.0,1,27.0,3.0,2,5,2,1,12.0,0.0,1.0,7.0,135.64,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,8.0,1,8.0,2.0,3,4,6,0,11.0,1.0,1.0,2.0,144.25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,15.0,1,27.0,2.0,3,3,3,0,16.0,0.0,1.0,2.0,152.65,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,11.0,1,8.0,2.0,3,3,10,0,14.0,0.0,1.0,0.0,165.53,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,11.0,1,35.0,2.0,3,2,4,0,18.0,0.0,1.0,7.0,162.61,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0.0,1,6.0,2.0,4,5,6,0,19.0,0.0,2.0,0.0,142.98,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,22.0,1,24.0,3.0,3,2,2,1,15.0,0.0,1.0,7.0,168.04,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,7.0,1,16.0,2.0,3,3,2,1,17.0,2.0,2.0,0.0,138.15,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,13.0,1,25.0,3.0,3,2,9,1,15.0,1.0,3.0,7.0,127.41,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,1.0,1,35.0,3.0,3,5,8,1,19.0,0.0,1.0,0.0,166.73,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0.0,3,33.0,2.0,3,2,2,0,22.0,1.0,1.0,9.0,176.39,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
0,0.0,1,14.0,2.0,2,4,2,1,16.0,0.0,2.0,2.0,123.28,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,9.0,1,24.0,3.0,3,2,2,0,13.0,1.0,1.0,7.0,121.53,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,13.0,1,15.0,3.0,4,2,10,0,14.0,1.0,1.0,2.0,148.76,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,19.0,1,6.0,3.0,3,5,8,0,16.0,0.0,1.0,3.0,193.96,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,0.0,3,10.0,2.0,5,2,2,0,11.0,7.0,9.0,8.0,204.0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,3.0,1,6.0,2.0,4,3,2,0,22.0,2.0,5.0,8.0,184.74,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
0,0.0,3,26.0,2.0,3,3,2,0,14.0,1.0,1.0,7.0,199.81,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,24.0,1,14.0,2.0,4,4,6,0,16.0,1.0,4.0,3.0,224.89999999999998,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
1,0.0,1,14.0,2.0,3,5,6,1,11.0,1.0,1.0,4.0,126.57,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,14.0,3,12.0,3.0,3,2,4,1,18.0,0.0,2.0,0.0,235.91000000000003,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0.0,3,32.0,2.0,4,5,6,0,15.0,0.0,1.0,1.0,166.96,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
1,9.0,1,6.0,2.0,3,3,1,0,14.0,0.0,1.0,5.0,120.58000000000001,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,18.0,3,12.0,2.0,4,2,7,0,12.0,12.0,12.0,8.0,188.65,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,27.0,3,9.0,2.0,3,5,3,0,14.0,1.0,1.0,5.0,159.4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,9.0,1,11.0,3.0,3,4,9,0,16.0,0.0,3.0,7.0,159.14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,6.0,1,14.0,2.0,4,4,7,0,21.0,0.0,1.0,1.0,126.22,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,10.0,1,17.0,2.0,3,2,2,1,14.0,0.0,1.0,3.0,221.85000000000002,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
0,11.0,3,9.0,3.0,3,3,1,0,12.0,1.0,5.0,13.0,206.08999999999997,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
0,4.0,1,6.0,2.0,5,3,1,0,12.0,1.0,1.0,4.0,143.45,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,9.0,1,9.0,3.0,4,2,4,0,17.0,0.0,1.0,0.0,121.77000000000001,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,10.0,3,10.0,2.0,3,2,5,0,17.0,1.0,5.0,8.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,2.0,3,6.0,2.0,3,2,2,0,14.0,4.0,4.0,1.0,179.18,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,8.0,3,6.0,3.0,3,3,2,0,14.0,1.0,1.0,8.0,187.89,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
1,0.0,1,14.0,2.0,4,2,2,1,13.0,0.0,1.0,1.0,123.88999999999999,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,25.0,1,8.0,2.0,4,2,8,0,15.0,0.0,2.0,2.0,132.12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
0,15.0,1,10.0,2.0,3,2,2,0,15.0,0.0,11.0,15.0,292.32,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,9.0,2,12.0,2.0,3,3,9,0,17.0,2.0,2.0,2.0,122.66999999999999,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,23.0,3,6.0,3.0,3,2,4,0,15.0,1.0,1.0,6.0,295.17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,0.0,1,14.0,2.0,3,2,6,1,13.0,0.0,1.0,4.0,124.36000000000001,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,16.0,3,22.0,3.0,3,2,6,1,22.0,0.0,2.0,9.0,260.64,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,0.0,1,8.0,3.0,3,5,8,0,20.0,1.0,1.0,7.0,127.07,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,25.0,3,8.0,3.0,4,3,2,1,18.0,1.0,15.0,12.0,290.68,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,5.0,3,10.0,2.0,3,4,3,0,11.0,1.0,1.0,2.0,139.31,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,0.0,1,6.0,3.0,4,3,1,1,14.0,1.0,1.0,2.0,137.3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,9.0,1,6.0,3.0,3,3,8,0,14.0,0.0,1.0,2.0,122.32,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,5.0,3,32.0,3.0,3,2,1,0,18.0,1.0,2.0,2.0,144.65,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,14.0,1,25.0,3.0,3,5,3,0,16.0,1.0,1.0,0.0,130.72,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,13.0,1,30.0,3.0,3,2,2,0,17.0,2.0,4.0,7.0,133.19,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,18.0,1,6.0,3.0,2,2,1,0,15.0,1.0,1.0,7.0,292.02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
0,4.0,1,9.0,3.0,3,3,10,0,12.0,1.0,2.0,2.0,236.75,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,6.0,1,11.0,3.0,4,2,2,0,13.0,0.0,1.0,2.0,129.11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,7.0,1,8.0,2.0,4,5,7,0,13.0,0.0,5.0,9.0,159.57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,10.0,1,6.0,2.0,4,5,3,0,14.0,1.0,1.0,2.0,139.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,18.0,1,13.0,3.0,2,3,5,0,17.0,0.0,1.0,2.0,164.34,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0.0,1,16.0,3.0,3,3,7,0,11.0,1.0,1.0,0.0,200.48,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,12.0,1,8.0,3.0,3,3,1,0,25.0,10.0,11.0,3.0,209.38,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,2.0,1,14.0,2.0,3,2,2,0,19.0,0.0,1.0,5.0,123.4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0,15.0,1,23.0,2.0,2,5,4,1,13.0,0.0,1.0,2.0,165.45,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,2.0,3,26.0,2.0,3,2,3,0,14.0,1.0,1.0,2.0,169.31,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0.0,1,6.0,3.0,3,3,1,0,12.0,1.0,1.0,2.0,148.98,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,15.0,1,14.0,2.0,4,5,1,1,11.0,4.0,7.0,8.0,125.93,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,13.0,1,8.0,2.0,3,3,1,0,15.0,0.0,3.0,9.0,294.36,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,24.0,1,6.0,3.0,3,2,2,0,11.0,1.0,1.0,0.0,127.22999999999999,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0.0,1,35.0,3.0,4,4,1,0,11.0,1.0,1.0,4.0,134.79,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,5.0,1,13.0,3.0,2,4,2,0,20.0,0.0,1.0,3.0,127.94,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,11.0,3,8.0,2.0,4,2,4,0,18.0,6.0,7.0,5.0,152.49,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,9.0,1,8.0,2.0,4,5,5,0,13.0,0.0,1.0,4.0,121.75999999999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,19.0,3,8.0,3.0,5,4,4,1,12.0,1.0,7.0,7.0,268.72,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.0,1,8.0,3.0,3,3,3,0,11.0,1.0,1.0,0.0,134.85,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0,2.0,3,8.0,3.0,4,4,3,0,19.0,0.0,1.0,0.0,166.44,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,4.0,1,29.0,3.0,4,2,1,0,21.0,1.0,7.0,8.0,155.82,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0.0,1,11.0,2.0,2,5,2,0,12.0,1.0,1.0,5.0,140.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,18.0,1,26.0,3.0,3,2,1,1,14.0,0.0,2.0,10.0,234.95999999999998,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,9.0,1,12.0,2.0,3,2,1,0,11.0,4.0,10.0,11.0,132.1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,28.0,1,6.0,2.0,3,5,1,1,14.0,1.0,4.0,13.0,290.45,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,10.0,1,35.0,2.0,3,4,2,1,12.0,5.0,9.0,3.0,218.49,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
0,9.0,1,15.0,3.0,3,2,2,0,23.0,1.0,1.0,4.0,120.69999999999999,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,10.0,3,12.0,3.0,3,2,5,0,14.0,0.0,1.0,1.0,165.02,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0.0,1,9.0,3.0,4,3,2,0,17.0,1.0,1.0,0.0,132.3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,10.0,1,6.0,0.0,3,2,3,1,18.0,0.0,2.0,2.0,236.02999999999997,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
